00508f2b-36bf-44fc-b66b-97e1f3e40bfa	005e85a3-3571-462d-8dc9-2babfc7ace21	007aab66-2f07-459d-8952-3041d6ea24a8	008aef39-0c97-48ce-9dfd-f12d67116c59	008bad10-d41b-4bbb-86fa-9976ecea46b1	00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	0192d529-7340-45d8-a5f0-249cbb11ca19	01c8e465-2b4e-4519-bdef-c3ac06b43eeb	04c09376-8756-41d9-bbca-f464170a8cfb	079bcb09-a075-4313-9a3e-dd67734a8c5d	91f458e6-64b7-454d-a542-b0aa23638fd8	PD11365a	PD23561a	PD23564a	PD23579a	PD24189a	PD24193a	PD24320a	PD31040a	PD31122a	PD31144a	PD36047a	PD5937a	PD6412a	PD7318a	PD9604a
Breast_A	0	188.35192811681	0	0	207.491337925277	0	203.429478138223	531.189799635701	5514.80514298528	0	0	0	5724.79824795868	40737.6219385003	63838.8671105848	15964.9303663593	5519.6671108742	958.164230438521	17890.2926163526	6735.34229775306	9946.32345537757	8615.02887344622	24252.847740035	7023.06672902404	11447.3080084121	1227.9528621111
Breast_B	0	0	0	0	0	717.63681082189	0	0	29639.5126760935	878.226030769231	1684.82465395533	0	16033.6378827201	0	0	0	0	0	0	1369.6377732031	0	0	26325.372917242	0	0	0
Breast_C	0	0	0	0	0	814.722962355674	0	0	0	0	0	0	28536.4331473801	0	0	0	0	0	0	0	0	0	17359.2747399429	0	0	0
Breast_D	278.756445672191	0	111.13201320132	274.952286282306	0	691.613718658195	0	454.169763205829	0	0	2323.20546637526	8164.91155366818	0	10957.2018342025	9904.00738528777	6985.03257466791	2351.02478678038	10872.6898824878	9382.84230330321	8702.16810476983	14313.8196796339	4324.26935499657	0	7189.48298439739	4027.54345040973	6349.35365165899
Breast_E	272.250460405157	0	0	337.82703777336	0	0	0	857.158469945355	0	1064.09132307692	0	0	0	0	0	0	0	0	0	0	4735.74885583524	0	0	3528.82661996497	0	0
Breast_F	0	106.699363534257	0	393.216699801193	0	710.630593700895	253.535260930889	0	0	998.963323076923	1257.2346823423	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Breast_G	848.780847145488	179.335080494197	164.953795379538	355.292246520875	328.067418075558	661.086629773861	0	779.641530054645	35337.4940312879	898.265415384615	2567.04190217801	0	0	0	0	0	0	971.659501289768	0	0	0	0	0	0	0	0
Breast_H	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Breast_I	0	260.98764507675	0	527.44930417495	371.273846796076	819.226959076314	641.855077574048	1224.86703096539	0	939.847138461539	3422.22184540407	2712.80773173232	0	0	8200.31233303014	0	0	1156.09486959014	0	0	0	0	0	0	0	0
Breast_J	252.732504604052	408.763758891801	0	695.115308151093	763.648507618451	874.7762519642	805.700987306065	0	0	2070.56941538462	1546.1332931394	0	0	29052.1408259905	0	4569.06252644048	1396.63850390903	1082.12079233145	0	3045.85870088914	0	0	0	3028.07409250119	3917.48761149653	1058.4763135633
Breast_K	0	0	106.646864686469	265.970178926441	219.548945940305	958.850857416137	280.592383638928	0	0	0	4733.03044690632	0	0	0	0	0	0	0	0	0	0	0	0	1944.8646712307	0	0
