Sample	Breast_A	Breast_D	MMR_sum
00508f2b-36bf-44fc-b66b-97e1f3e40bfa	0	278.756445672191	278.756445672191
005e85a3-3571-462d-8dc9-2babfc7ace21	188.35192811681	0	188.35192811681
007aab66-2f07-459d-8952-3041d6ea24a8	0	111.13201320132	111.13201320132
008aef39-0c97-48ce-9dfd-f12d67116c59	0	274.952286282306	274.952286282306
008bad10-d41b-4bbb-86fa-9976ecea46b1	207.491337925277	0	207.491337925277
00db4dc2-3ec7-4ff9-9233-d69c8c8a607f	0	691.613718658195	691.613718658195
0192d529-7340-45d8-a5f0-249cbb11ca19	203.429478138223	0	203.429478138223
01c8e465-2b4e-4519-bdef-c3ac06b43eeb	531.189799635701	454.169763205829	985.35956284153
04c09376-8756-41d9-bbca-f464170a8cfb	5514.80514298528	0	5514.80514298528
079bcb09-a075-4313-9a3e-dd67734a8c5d	0	0	0
91f458e6-64b7-454d-a542-b0aa23638fd8	0	2323.20546637526	2323.20546637526
PD11365a	0	8164.91155366818	8164.91155366818
PD23561a	5724.79824795868	0	5724.79824795868
PD23564a	40737.6219385003	10957.2018342025	51694.8237727028
PD23579a	63838.8671105848	9904.00738528777	73742.8744958726
PD24189a	15964.9303663593	6985.03257466791	22949.9629410272
PD24193a	5519.6671108742	2351.02478678038	7870.69189765458
PD24320a	958.164230438521	10872.6898824878	11830.8541129263
PD31040a	17890.2926163526	9382.84230330321	27273.1349196558
PD31122a	6735.34229775306	8702.16810476983	15437.5104025229
PD31144a	9946.32345537757	14313.8196796339	24260.1431350114
PD36047a	8615.02887344622	4324.26935499657	12939.2982284428
PD5937a	24252.847740035	0	24252.847740035
PD6412a	7023.06672902404	7189.48298439739	14212.5497134214
PD7318a	11447.3080084121	4027.54345040973	15474.8514588218
PD9604a	1227.9528621111	6349.35365165899	7577.30651377009
